ACCESSION_NUMBER	ISSUER_NAME	BALANCE	CURRENCY_VALUE	PERCENTAGE	INVESTMENT_COUNTRY	ISSUER_LEI
0000940400-26-012536	West Japan Railway Co	28259.0	576829.81	0.052527193105	JP	353800QGUXHZ7EBCR121
0000940400-26-012536	KKR & Co Inc	17636.0	2015089.36	0.183497777165	US	54930013V5I303TF9571
0000940400-26-012536	Nitto Denko Corp	44690.0	989325.02	0.090089772527	JP	3538009GX5P09USH2J25
0000940400-26-012536	BBVA	48663.0	1237293.64	0.112670255298	ES	K8MS7FD7N5Z2WQ51AZ71
0000940400-26-012536	DNB Bank ASA	30318.0	871085.68	0.079322678772	NO	549300GKFG0RYRRQ1414
0000940400-26-012536	Rigetti Computing Inc	7817.0	142034.89	0.012933960702	US	52990024JHY459DH8W71
0000940400-26-012536	Light & Wonder Inc	10754.0	1247464.0	0.113596387156	US	529900JXALYBOHXKFM62
0000940400-26-012536	COMSYS Holdings Corp	13581.0	422980.23	0.038517364803	JP	529900BXEDA1UA6QX260
0000940400-26-012536	FormFactor Inc	13293.0	937023.57	0.085327105417	US	549300YCEEO6SZD1ZR61
0000940400-26-012536	STAG Industrial Inc	23131.0	867643.81	0.079009255701	US	549300QWYX2W6FASVQ07
0000940400-26-012536	iShares MSCI Japan ETF	9271.0	794710.12	0.072367778524	US	5493008I6YRUC6I0S051
0000940400-26-012536	O'Reilly Automotive Inc	23725.0	2334777.25	0.212609149775	US	549300K2RLMQL149Q332
0000940400-26-012536	ABB Ltd	25033.0	2158592.3	0.196565421225	CH	5493000LKVGOO9PELI61
0000940400-26-012536	Lintec Corp	15859.0	488292.42	0.044464814045	JP	3538002YOJO0IAM1PD28
0000940400-26-012536	Exxon Mobil Corp	32875.0	4648525.0	0.423303314249	US	J3WHBG0MTS7O8ZVMDC91
0000940400-26-012536	Central Japan Railway Co	38103.0	1060413.68	0.096563237848	JP	353800YAR3OVUITHTG64
0000940400-26-012536	Genuine Parts Co	3088.0	429201.12	0.039083850592	US	549300D46DQVEU651W04
0000940400-26-012536	RBC Bearings Inc	2488.0	1243178.96	0.113206183461	US	
0000940400-26-012536	Alphabet Inc	135968.0	46029247.04	4.19150866661	US	5493006MHB84DD0ZWV18
0000940400-26-012536	Galderma Group AG	9932.0	1848799.95	0.168355154854	CH	89450001OK6O8ELQ4584
0000940400-26-012536	Cargurus Inc	25373.0	822085.2	0.074860604117	US	54930027BKQN6B7X7G78
0000940400-26-012536	Lonza Group AG	3355.0	2278474.87	0.207482150554	CH	549300EFW4H2TCZ71055
0000940400-26-012536	Bharti Airtel Ltd	69641.0	1490444.21	0.135722616055	IN	335800KQ1FPKOQ84OR26
0000940400-26-012536	Equifax Inc	7547.0	1519965.8	0.138410906833	US	5493004MCF8JDC86VS77
0000940400-26-012536	Medtronic PLC	57311.0	5900740.56	0.537332387279	IE	549300GX3ZBSQWUXY261
0000940400-26-012536	Fujitsu Ltd	140827.0	3897402.69	0.354904722604	JP	3538000246DHJLRTUZ24
0000940400-26-012536	Mowi ASA	33391.0	767641.08	0.069902821501	NO	549300W1OGQF5LZIH349
0000940400-26-012536	ROCKWOOL A/S	17458.0	591737.9	0.05388475145	DK	213800QRC7LNX935OZ09
0000940400-26-012536	Clicks Group Ltd	48712.0	981492.33	0.089376513238	ZA	378900E967958A677472
0000940400-26-012536	Peab AB	50412.0	503695.54	0.04586745074	SE	549300FQS4VD3153I854
0000940400-26-012536	Tokyotokeiba Co Ltd	9552.0	330826.57	0.030125681484	JP	
0000940400-26-012536	ConocoPhillips	26632.0	2775853.36	0.252774358997	US	WPTL2Z3FIYTHSP5V2253
0000940400-26-012536	Prestige Consumer Healthcare I	8537.0	550380.39	0.050118659829	US	
0000940400-26-012536	Ameris Bancorp	12766.0	1029194.92	0.09372039962	US	PBJHNT51T5V6G5UQFV42
0000940400-26-012536	AVI Ltd	193747.0	1289347.83	0.117410406453	ZA	378900C2D68805FAAF75
0000940400-26-012536	Rolls-Royce Holdings PLC	173135.0	2868971.35	0.261253855995	GB	213800EC7997ZBLZJH69
0000940400-26-012536	Societe Generale SA	15538.0	1359246.06	0.123775469009	FR	O2RNE8IBXP4R0TD8PU41
0000940400-26-012536	ANDRITZ AG	11039.0	955210.74	0.086983262873	AT	549300VZKC61IR5U8G96
0000940400-26-012536	StandardAero Inc	49501.0	1529085.89	0.139241399155	US	
0000940400-26-012536	Kingfisher PLC	195581.0	903228.51	0.082249664529	GB	213800KBMEV7I92FY281
0000940400-26-012536	Merck & Co Inc	28334.0	3124390.18	0.284512768717	US	4YV9Y5M8S0BRK1RP0397
0000940400-26-012536	Straumann Holding AG	12640.0	1522261.17	0.138619927485	CH	50670046ML5FVIM60Z37
0000940400-26-012536	Continental AG	9441.0	745760.87	0.067910368968	DE	529900A7YD9C0LLXM621
0000940400-26-012527	Convatec Group PLC	1221289.0	3852338.72	0.069145526053	GB	213800LS272L4FIDOH92
0000940400-26-012527	Valeo SE	367683.0	5135212.23	0.092171788839	FR	5493006IH2N2WMIBB742
0000940400-26-012527	TotalEnergies SE	633989.0	46109274.21	0.827614146342	FR	529900S21EQ1BO4ESM68
0000940400-26-012527	Yamaichi Electronics Co Ltd	71800.0	2728717.22	0.048977673392	JP	
0000940400-26-012527	Yokohama Financial Group Inc	1559400.0	14202600.72	0.254922105631	JP	
0000940400-26-012527	Mitsui Kinzoku Co Ltd	21300.0	2779839.07	0.049895258129	JP	35380021EYAHSQM25559
0000940400-26-012527	Goldman Sachs Financial Square Government Fund	56608423.0	56608423.0	1.016063090986	US	549300BRJMXN4GUWZ402
0000940400-26-012527	Lasertec Corp	7000.0	1608162.37	0.028864863952	JP	
0000940400-26-012527	Man Group PLC/Jersey	964361.0	3480768.58	0.062476223412	GB	2549003YWC1DW6LALB09
0000940400-26-012527	Ramelius Resources Ltd	1712078.0	5272883.45	0.094642845935	AU	254900E44AIGW7KKNR98
0000940400-26-012527	Japan Material Co Ltd	72700.0	843075.46	0.015132339189	JP	
0000940400-26-012527	Kyushu Railway Co	326000.0	8312199.53	0.149195450071	JP	5299002CCI6HLWAN3K50
0000940400-26-012527	Compass Group PLC	658506.0	19745609.76	0.354413428654	GB	2138008M6MH9OZ6U2T68
0000940400-26-012527	Leonardo SpA	200281.0	13384116.98	0.240231162574	IT	529900X4EEX1U9LN3U39
0000940400-26-012527	Fujitsu Ltd	1094100.0	30400424.75	0.545656421815	JP	3538000246DHJLRTUZ24
0000940400-26-012527	Tosoh Corp	606200.0	9893558.5	0.177579220505	JP	529900YSLFVJF2MDBX02
0000940400-26-012527	Sharp Corp/Japan	221300.0	1009940.03	0.018127386954	JP	353800YEPK9PD7QO3449
0000940400-26-012527	Terumo Corp	232600.0	3042701.59	0.054613370566	JP	353800JX1R4582QVK932
0000940400-26-012527	Bureau Veritas SA	116805.0	3760229.57	0.067492261349	FR	969500TPU5T3HA5D1F11
0000940400-26-012527	Accelleron Industries AG	98427.0	9428032.35	0.16922350392	CH	254900KS0MD2PAARXD14
0000940400-26-012527	LVMH Moet Hennessy Louis Vuitt	19658.0	12687374.78	0.227725355208	FR	IOG4E947OATN0KJYSD45
0000940400-26-012527	Evolution Mining Ltd	2719185.0	26112961.1	0.468700849873	AU	254900BCFW5QO5LW8F27
0000940400-26-012527	Nordea Bank Abp	3837106.0	74134519.67	1.330638537743	FI	529900ODI3047E2LIV03
0000940400-26-012527	Aena SME SA	452768.0	14061889.47	0.252396483117	ES	959800R7QMXKF0NFMT29
0000940400-26-012527	Eisai Co Ltd	220600.0	6150203.81	0.110389845931	JP	353800HDEE0ZYEX4QV91
0000940400-26-012527	BAE Systems PLC	1240544.0	33677010.54	0.604467773717	GB	8SVCSVKSGDWMW2QHOH83
0000940400-26-012527	KBC Ancora	9167.0	842424.69	0.015120658536	BE	549300I4XZ0RR3ZOSZ55
0000940400-26-012527	Industria de Diseno Textil SA	426270.0	27737468.1	0.497859083158	ES	549300TTCXZOGZM2EY83
0000940400-26-012527	AUSTRALIAN SECURITIES EXCHANGE TRADE24	60.0	-18157.18	-0.00032590274	AU	
0000940400-26-012527	Orkla ASA	228247.0	2715765.9	0.048745210491	NO	549300PZS8G8RG6RVZ52
0000940400-26-012527	Japan Post Holdings Co Ltd	296700.0	3570138.25	0.064080317262	JP	5299003D9N4JBS256X18
0000940400-26-012527	Roche Holding AG	164509.0	74808810.53	1.3427413666	CH	549300U41AUUVOAAOB37
0000940400-26-012527	Endeavour Mining PLC	251187.0	14297138.19	0.256618956185	GB	529900NI5MXQ91GHXR07
0000940400-26-012527	Mitsui Fudosan Co Ltd	983400.0	11276554.6	0.202402581017	JP	353800ND4ZKNZDYKMF33
0000940400-26-012526	Polyus PJSC	18426.0	0.0	0.0	RU	549300FUXVT7TF6ZKV71
0000940400-26-012526	Fubon Financial Holding Co Ltd	679000.0	1949803.48	0.067730869819	TW	549300G7Y2TS2XNIB476
0000940400-26-012526	HD Hyundai Co Ltd	28491.0	4623743.42	0.160616270752	KR	
0000940400-26-012526	Tongcheng Travel Holdings Ltd	164400.0	489007.92	0.016986805136	CN	2549004WGGNOPL8NUL61
0000940400-26-012526	Samsung Electronics Co Ltd	191513.0	15512758.62	0.538871042853	KR	9884007ER46L6N7EI764
0001193125-26-028778	187284369.LC	5566.0	583.36	3.72336e-05	US	
0001193125-26-028778	CBM4217789.UP	1883.0	1904.16	0.000121535	US	
0001193125-26-028778	7434203661.ST	1809.0	90.45	5.7731e-06	US	
0001193125-26-028778	2099083.PW	3625.0	3496.74	0.0002231831	US	
0001193125-26-028778	LAI-00822732.LP	10480.0	962.09	6.14064e-05	US	
0001193125-26-028778	APP-40619561.FP	26645.0	25774.95	0.0016451132	US	
0001193125-26-028778	L4318360.UP	1421.0	1439.16	9.18559e-05	US	
0001193125-26-028731	8351602.SQ	1097.0	1066.47	6.80686e-05	US	
0001193125-26-028731	DRB5730894.UP	4769.0	4568.42	0.0002915842	US	
0001193125-26-028731	2421568.PW	20588.0	20367.37	0.0012999688	US	
0001193125-26-028731	APP-11903149.FP	9765.0	949.17	6.05818e-05	US	
0001193125-26-028731	FW3140179.UP	6192.0	6100.2	0.0003893517	US	
0001193125-26-028778	189212558.LC	4456.0	4501.21	0.0002872945	US	
0001193125-26-028778	FW4113789.UP	2311.0	2359.82	0.000150618	US	
0001193125-26-028778	FW3661544.UP	1110.0	1089.32	6.9527e-05	US	
0001193125-26-028778	2610807.MA	17480.0	17630.24	0.0011252686	US	
0001193125-26-028778	FW4296399.UP	889.0	894.59	5.70981e-05	US	
0001193125-26-028778	2702202.MA	44245.0	43953.79	0.0028053968	US	
0001193125-26-028778	DRB5810286.UP	2248.0	2220.6	0.0001417321	US	
0001193125-26-028778	2507396.MA	12378.0	12413.23	0.0007922874	US	
0001193125-26-028778	1997813.PW	144.0	143.3	9.1463e-06	US	
0001193125-26-028778	293476031.UG	20931.0	20303.06	0.0012958641	US	
0001193125-26-028778	DRB5706825.UP	9623.0	9313.97	0.0005944739	US	
0001193125-26-028778	L4437878.UP	1867.0	1836.93	0.000117244	US	
0001193125-26-028778	DRB5707772.UP	1179.0	1174.73	7.49784e-05	US	
0001193125-26-028778	FW4088286.UP	818.0	845.16	5.39432e-05	US	
0001193125-26-028778	5569377186.ST	10900.0	544.98	3.47839e-05	US	
0001193125-26-028778	DRB4799636.UP	6747.0	6224.95	0.000397314	US	
0001193125-26-028778	DRB5709237.UP	44843.0	43051.76	0.0027478238	US	
0001193125-26-028778	2447983.MA	18837.0	18881.65	0.0012051411	US	
0001193125-26-028778	L3718597.UP	18534.0	18700.64	0.001193588	US	
0001193125-26-028778	213874338.LC	5831.0	5665.03	0.0003615765	US	
0001193125-26-028778	186370380.LC	2308.0	2320.18	0.0001480879	US	
0001193125-26-028778	L3896153.UP	3092.0	3135.12	0.0002001023	US	
0001193125-26-028778	DRB4547062.UP	1376.0	1339.89	8.55199e-05	US	
0001193125-26-028778	L2161899.UP	11212.0	11050.43	0.0007053053	US	
0001193125-26-028778	261936547.UG	12424.0	12511.41	0.0007985539	US	
0001193125-26-028778	LAI-00702276.LP	10169.0	3175.17	0.0002026586	US	
0001193125-26-028778	208853667.LC	20320.0	20059.37	0.0012803103	US	
0001193125-26-028778	CBM4558962.UP	41708.0	41190.62	0.0026290346	US	
0001193125-26-028778	9829594.SQ	4657.0	4407.7	0.0002813261	US	
0001193125-26-028778	L4864774.UP	5374.0	5213.83	0.0003327782	US	
0001193125-26-028778	6209255908.ST	7540.0	377.01	2.40631e-05	US	
0001193125-26-028778	L3858739.UP	106.0	106.0	6.7656e-06	US	
0001193125-26-028778	299612020.UG	1241.0	1253.05	7.99772e-05	US	
0001193125-26-028778	129570615.UG	2180.0	2177.52	0.0001389825	US	
0001193125-26-028778	L4015996.UP	1013.0	1007.08	6.42779e-05	US	
0001193125-26-028778	2032402.PW	5437.0	819.94	5.23335e-05	US	
0001193125-26-028731	179022134.LC	3643.0	381.74	2.4365e-05	US	
0001193125-26-028778	L4342596.UP	759.0	770.27	4.91633e-05	US	
0001193125-26-028731	174227243.LC	11617.0	1217.43	7.77037e-05	US	
0001193125-26-028778	DRB4871259.UP	11381.0	10626.54	0.0006782501	US	
0001193125-26-028731	204546556.LC	4770.0	4742.5	0.000302695	US	
0001193125-26-028778	2491331.MA	4202.0	4169.01	0.0002660914	US	
0001193125-26-028731	L4042601.UP	2662.0	2641.5	0.0001685965	US	
0001193125-26-028778	L4165307.UP	9320.0	9330.86	0.0005955519	US	
0001193125-26-028731	341859266.UG	22914.0	22690.89	0.0014482699	US	
0001193125-26-028778	L2909284.UP	4306.0	2717.99	0.0001734786	US	
0001193125-26-028778	251577081.UG	10572.0	10371.22	0.000661954	US	
0001193125-26-028731	205530283.LC	3942.0	3899.61	0.0002488967	US	
0001193125-26-028778	195941593.LC	3585.0	375.66	2.39769e-05	US	
0001193125-26-028731	756816.BV	8850.0	8868.3	0.0005660286	US	
0001193125-26-028778	L4127753.UP	890.0	892.05	5.6936e-05	US	
0001193125-26-028731	CBM4381799.UP	874.0	849.83	5.42413e-05	US	
0001193125-26-028778	209804644.LC	4181.0	4077.92	0.0002602775	US	
0001193125-26-028731	L3991850.UP	8309.0	8388.87	0.0005354284	US	
0001193125-26-028731	5000053744.FP	45325.0	47887.04	0.0030564406	US	
0001193125-26-028731	763403.BV	8909.0	9047.43	0.0005774617	US	
0001193125-26-028731	FW5547528.UP	1624.0	1580.56	0.0001008809	US	
0001193125-26-028731	191512108.UG	9006.0	1460.78	9.32358e-05	US	
0001193125-26-028731	282485402.UG	7271.0	7034.97	0.0004490143	US	
0001193125-26-028731	206169546.LC	3217.0	3199.34	0.0002042012	US	
0001193125-26-028731	L3045637.UP	983.0	142.95	9.1239e-06	US	
0001193125-26-028731	2934644.MA	1868.0	1847.73	0.0001179333	US	
0001193125-26-028731	310499058.UG	8383.0	8469.93	0.0005406022	US	
0001193125-26-028731	FW4868446.UP	32249.0	9555.4	0.0006098834	US	
0001193125-26-028731	172433861.UG	10617.0	8108.44	0.0005175297	US	
0001193125-26-028731	FW4580682.UP	1468.0	1433.42	9.14895e-05	US	
0001193125-26-028731	DRB5841659.UP	2932.0	2856.45	0.0001823159	US	
0001193125-26-028731	773085.BV	47490.0	49057.99	0.0031311777	US	
0001193125-26-028731	FW3144027.UP	4496.0	4462.36	0.0002848148	US	
0001193125-26-028731	236558747.UG	22032.0	22292.78	0.0014228601	US	
0001193125-26-028731	L3263130.UP	703.0	709.9	4.53101e-05	US	
0001193125-26-028731	2444946.PW	18000.0	17875.57	0.001140927	US	
0001193125-26-028731	241544725.UG	8891.0	8988.13	0.0005736768	US	
0001193125-26-028731	CBM5438904.UP	2700.0	783.91	5.00339e-05	US	
0001193125-26-028731	204173003.LC	10729.0	1124.42	7.17673e-05	US	
0001193125-26-028731	FW4659609.UP	7428.0	6918.68	0.000441592	US	
0001193125-26-028731	DRB5546954.UP	2257.0	2196.46	0.0001401914	US	
0001193125-26-028731	L3124614.UP	1105.0	1096.3	6.99725e-05	US	
0001193125-26-028731	5746300.SQ	7164.0	561.62	3.5846e-05	US	
0001193125-26-028731	223696760.UG	1032.0	1024.14	6.53668e-05	US	
0001193125-26-028731	DRB5010172.UP	4430.0	4139.07	0.0002641805	US	
0001193125-26-028731	DRB5557453.UP	2018.0	1921.78	0.0001226596	US	
0001193125-26-028778	206288751.LC	18852.0	2172.75	0.000138678	US	
0001193125-26-028778	DRB4984548.UP	2601.0	2407.61	0.0001536682	US	
0001193125-26-028778	DRB5544773.UP	24390.0	23087.77	0.0014736012	US	
0001193125-26-028778	DRB4550553.UP	15850.0	1252.0	7.99102e-05	US	
0001193125-26-028778	L1860201.UP	7948.0	7763.21	0.000495495	US	
0001193125-26-028778	215289947.LC	3494.0	3304.64	0.0002109221	US	
0001193125-26-028778	2617765.MA	1776.0	1769.98	0.0001129708	US	
0001193125-26-028778	2231413.PW	6099.0	6016.36	0.0003840005	US	
0001193125-26-028778	773119.BV	5442.0	5622.73	0.0003588766	US	
0001193125-26-028778	206390414.LC	3543.0	3469.27	0.0002214298	US	
0001193125-26-028778	FW4671944.UP	1562.0	125.74	8.0255e-06	US	
0001193125-26-028778	189448254.LC	12964.0	13098.77	0.0008360427	US	
0001193125-26-028778	296220891.UG	8567.0	8288.38	0.0005290146	US	
0001193125-26-028778	CBM4434123.UP	815.0	793.23	5.06287e-05	US	
0000940400-26-012526	TSMC	6990000.0	386518600.21	13.42660491789	TW	549300KB6NK5SBD14S87
0000940400-26-012526	Ichia Technologies Inc	756000.0	1257530.28	0.043683181695	TW	
0000940400-26-012473	SUNSTONE HOTEL INVESTORS	18907.0	387593.5	0.361612180524	US	529900ZQ2V52V96ATF67
0000940400-26-012473	PENNYMAC MTGE INVESTMENT	17902.0	434302.52	0.40519018318	US	549300BSSOQO1ZWDUJ97
0000940400-26-012473	SUNSTONE HOTEL INVESTORS	19322.0	373011.21	0.348007376305	US	529900ZQ2V52V96ATF67
0000940400-26-012473	PUBLIC STORAGE	34013.0	533323.84	0.497573867229	US	254900GLQZAD4N7N5Q19
0000940400-26-012473	CHIMERA INVESTMENT CORP	44279.0	1044098.82	0.974110378484	US	2JBBQFJOL123LOUBE657
0000940400-26-012473	BROOKFIELD PROPERTY PART	85309.0	1280488.09	1.194653910244	US	5493004J5Z0TZW83NU62
0000940400-26-012473	DIGITAL REALTY TRUST INC	76512.0	1593744.96	1.4869124229	US	549300HKCZ31D08NEI41
0000940400-26-012473	READY CAPITAL CORP	2977.0	74186.84	0.06921391865	US	549300MYWGZUG7ZUYO87
0000940400-26-012473	RBC BlueBay US Government Money Market Fund	428706.43	428706.43	0.399969212479	US	549300RFDC5U7WLJKO50
0000940400-26-012473	SAUL CENTERS INC	21164.0	473227.04	0.441505499492	US	
0000940400-26-012473	READY CAPITAL CORP	17322.0	364801.32	0.340347814871	US	549300MYWGZUG7ZUYO87
0000940400-26-012473	SUMMIT HOTEL PROPERTIES	16392.0	299809.68	0.279712719968	US	254900OBQWJK6X20LS71
0000940400-26-012473	CHIMERA INVESTMENT CORP	26598.0	585687.96	0.546427895004	US	2JBBQFJOL123LOUBE657
