ACCESSION_NUMBER	ISSUER_NAME	BALANCE	CURRENCY_VALUE	PERCENTAGE	INVESTMENT_COUNTRY	ISSUER_LEI
0001193125-26-028778	FW4877624.UP	5539.0	4939.26	0.0003152535	US	
0001193125-26-028731	FW3646450.UP	593.0	606.74	3.87258e-05	US	
0001193125-26-028778	1536794.MA	7551.0	7492.2	0.0004781975	US	
0001193125-26-028731	186926178.LC	3305.0	346.32	2.21042e-05	US	
0001193125-26-028778	L5819325.UP	43162.0	42790.84	0.0027311703	US	
0001193125-26-028731	L4024882.UP	23719.0	24005.65	0.0015321858	US	
0001193125-26-028778	FW4876628.UP	30887.0	28818.42	0.0018393659	US	
0001193125-26-028731	L6028968.UP	7726.0	7697.08	0.0004912742	US	
0001193125-26-028778	305388450.UG	11689.0	11304.14	0.0007214986	US	
0001193125-26-028731	185754470.LC	2156.0	2115.97	0.000135054	US	
0001193125-26-028778	DRB5814422.UP	2841.0	2808.54	0.000179258	US	
0001193125-26-028731	FW4357148.UP	6189.0	6084.44	0.0003883458	US	
0001193125-26-028778	APP-42589967.FP	7397.0	7161.01	0.000457059	US	
0001193125-26-028731	196677910.LC	166.0	166.21	1.06085e-05	US	
0001193125-26-028778	L4983714.UP	901.0	872.31	5.56761e-05	US	
0001193125-26-028731	329905928.UG	5395.0	5260.64	0.0003357659	US	
0001193125-26-028778	2303551.PW	3822.0	3754.3	0.0002396221	US	
0001193125-26-028731	208232390.LC	8356.0	8377.22	0.0005346849	US	
0001193125-26-028778	291853186.UG	3435.0	3417.1	0.0002181	US	
0001193125-26-028731	191835747.LC	1848.0	193.66	1.23606e-05	US	
0001193125-26-028778	204095656.LC	6021.0	6040.54	0.0003855438	US	
0001193125-26-028731	FW4180327.UP	9689.0	9961.03	0.0006357732	US	
0001193125-26-028778	186910427.UG	4883.0	5000.04	0.0003191328	US	
0001193125-26-028731	DRB5997547.UP	2599.0	2542.45	0.0001622745	US	
0001193125-26-028778	L5289646.UP	5350.0	5126.14	0.0003271813	US	
0001193125-26-028731	L6036988.UP	3696.0	3666.06	0.0002339901	US	
0001193125-26-028778	136017368.UG	315.0	313.34	1.99993e-05	US	
0001193125-26-028731	2991182.MA	24671.0	24548.49	0.0015668331	US	
0001193125-26-028778	758362.BV	3606.0	3588.1	0.0002290142	US	
0001193125-26-028731	FW3991761.UP	2369.0	344.51	2.19887e-05	US	
0001193125-26-028778	FW4219092.UP	1234.0	385.44	2.46011e-05	US	
0001193125-26-028731	L3250678.UP	9683.0	9545.22	0.0006092337	US	
0001193125-26-028778	DRB5290406.UP	2021.0	1896.39	0.0001210391	US	
0001193125-26-028731	289367294.UG	5719.0	5705.12	0.0003641353	US	
0001193125-26-028778	FW5536935.UP	2168.0	452.74	2.88966e-05	US	
0001193125-26-028731	CBM4318096.UP	3843.0	3833.22	0.0002446593	US	
0001193125-26-028778	DRB5278934.UP	3059.0	2914.6	0.0001860274	US	
0001193125-26-028731	188834934.UG	4659.0	755.73	4.82353e-05	US	
0001193125-26-028778	1914667.PW	5322.0	5500.37	0.0003510669	US	
0001193125-26-028731	FW4601684.UP	2816.0	2857.2	0.0001823638	US	
0001193125-26-028778	192535181.LC	15657.0	16137.88	0.0010300171	US	
0001193125-26-028731	FW4384242.UP	3620.0	3616.91	0.0002308531	US	
0001193125-26-028778	8877969.SQ	724.0	669.69	4.27437e-05	US	
0001193125-26-028731	FW2761187.UP	2549.0	2520.17	0.0001608525	US	
0001193125-26-028778	226967718.UG	13285.0	10374.2	0.0006621442	US	
0001193125-26-028731	DRB5487625.UP	1349.0	1307.65	8.34621e-05	US	
0001193125-26-028778	774107.BV	5555.0	5734.38	0.0003660028	US	
0001193125-26-028731	206204980.LC	8213.0	8207.47	0.0005238504	US	
0001193125-26-028778	2569883.MA	15495.0	15532.24	0.0009913615	US	
0001193125-26-028731	206078606.LC	787.0	785.69	5.01475e-05	US	
0001193125-26-028778	L698848.UP	24094.0	3503.29	0.0002236012	US	
0001193125-26-028778	FW3442982.UP	7526.0	7728.05	0.0004932509	US	
0001193125-26-028778	LAI-00799942.LP	3974.0	3726.46	0.0002378452	US	
0001193125-26-028778	2402476.MA	10745.0	10700.2	0.0006829515	US	
0001193125-26-028778	2982709.MA	13893.0	13636.15	0.0008703416	US	
0001193125-26-028778	2325559.PW	6361.0	6343.32	0.0004048691	US	
0001193125-26-028778	197251786.LC	18502.0	3251.36	0.0002075215	US	
0001193125-26-028778	L4652031.UP	6537.0	6382.69	0.0004073819	US	
0001193125-26-028778	217394129.LC	3582.0	3438.47	0.000219464	US	
0001193125-26-028778	L4600180.UP	9634.0	9670.95	0.0006172585	US	
0001193125-26-028778	L5707928.UP	7574.0	7272.68	0.0004641864	US	
0001193125-26-028778	7440614.SQ	2755.0	215.97	1.37845e-05	US	
0001193125-26-028778	L4776183.UP	16628.0	15762.07	0.0010060307	US	
0001193125-26-028778	L3593339.UP	2234.0	2284.5	0.0001458106	US	
0001193125-26-028778	FW4140991.UP	1595.0	1602.94	0.0001023093	US	
0001193125-26-028778	2288362.MA	14975.0	14795.72	0.0009443524	US	
0001193125-26-028778	191148165.LC	12346.0	1293.9	8.25845e-05	US	
0001193125-26-028778	2426039.MA	11758.0	11744.54	0.0007496076	US	
0001193125-26-028778	L1374166.UP	7200.0	7085.79	0.000452258	US	
0001193125-26-028778	FW4274126.UP	3228.0	3220.08	0.000205525	US	
0001193125-26-028778	FW3281893.UP	1063.0	1086.55	6.93502e-05	US	
0001193125-26-028778	DRB4669196.UP	8769.0	8186.8	0.0005225311	US	
0001193125-26-028778	L3600579.UP	8185.0	8195.4	0.00052308	US	
0001193125-26-028778	FW3995836.UP	480.0	479.57	3.06091e-05	US	
0001193125-26-028778	203399134.LC	8501.0	8641.35	0.0005515432	US	
0001193125-26-028778	CBM5300312.UP	1333.0	1250.48	7.98132e-05	US	
0001193125-26-028778	DRB5714402.UP	2137.0	2122.55	0.000135474	US	
0001193125-26-028778	292090261.UG	15315.0	14796.91	0.0009444283	US	
0001193125-26-028778	L3109816.UP	8567.0	1245.58	7.95005e-05	US	
0001193125-26-028778	L4213121.UP	4075.0	4043.08	0.0002580538	US	
0001193125-26-028778	2427026.MA	23716.0	23278.84	0.0014857964	US	
0001193125-26-028778	686192.BV	8408.0	1261.18	8.04961e-05	US	
0001193125-26-028778	FW5487711.UP	2161.0	2074.43	0.0001324027	US	
0001193125-26-028778	8876330.SQ	1961.0	1909.28	0.0001218618	US	
0001193125-26-028778	FW4226811.UP	969.0	992.64	6.33563e-05	US	
0001193125-26-028778	CBM4184547.UP	2683.0	2688.11	0.0001715714	US	
0001193125-26-028778	2561294.MA	40365.0	40228.94	0.0025676543	US	
0001193125-26-028778	FW4280753.UP	38451.0	37842.79	0.0024153558	US	
0001193125-26-028778	FW3428824.UP	2978.0	3019.83	0.0001927438	US	
0001193125-26-028778	L2170191.UP	4967.0	4893.72	0.0003123468	US	
0001193125-26-028778	DRB4660902.UP	1984.0	1849.65	0.0001180559	US	
0001193125-26-028778	177394767.LC	2741.0	2727.4	0.0001740792	US	
0001193125-26-028778	330376835.UG	2345.0	2228.56	0.0001422402	US	
0001193125-26-028778	1366842.SF	8445.0	8496.41	0.0005422923	US	
0001193125-26-028778	215263776.LC	26322.0	26108.84	0.0016664241	US	
0000940400-26-012536	Tenaris SA	36988.0	822508.3	0.074899132388	LU	549300Y7C05BKC4HZB40
0000940400-26-012536	Associated British Foods PLC	18579.0	484300.05	0.044101261423	GB	GBQKSY6W7G0OHCQ8OQ72
0000940400-26-012536	Tradeweb Markets Inc	20655.0	2128910.85	0.193862573299	US	
0000940400-26-012536	Aker BP ASA	28069.0	820166.82	0.074685912874	NO	549300NFTY73920OYK69
0000940400-26-012536	Hamilton Lane Inc	5885.0	831197.4	0.075690377962	US	5493006OKN3V1NORM833
0000940400-26-012536	Apple Inc	141132.0	36620931.36	3.334769978778	US	HWUPKR0MPOU8FGXBT394
0000940400-26-012536	Amada Co Ltd	67387.0	861931.81	0.07848911038	JP	529900QF5O6TQGCPDX85
0000940400-26-012536	BrightView Holdings Inc	55511.0	741626.96	0.067533927451	US	549300F8QN8YHVI7L866
0000940400-26-012536	Lowe's Cos Inc	11585.0	3093890.1	0.281735374824	US	WAFCR4OKGSC504WU3E95
0000940400-26-012536	Limbach Holdings Inc	4872.0	418894.56	0.038145316109	US	254900EW8KXT5ZTWQI30
0000940400-26-012536	Banco Santander SA	87403.0	1116841.91	0.101701697204	ES	5493006QMFDDMYWIAM13
0000940400-26-012536	Winmark Corp	1011.0	455647.59	0.041492115235	US	
