ACCESSION_NUMBER	ISSUER_NAME	BALANCE	CURRENCY_VALUE	PERCENTAGE	INVESTMENT_COUNTRY	ISSUER_LEI
0001193125-26-028731	FW4043771.UP	1608.0	1623.33	0.0001036107	US	
0001193125-26-028731	L4557497.UP	568.0	560.46	3.57719e-05	US	
0001193125-26-028731	FW4596250.UP	1540.0	124.64	7.9553e-06	US	
0001193125-26-028731	343092255.UG	4664.0	4517.71	0.0002883476	US	
0001193125-26-028731	334027091.UG	3862.0	3767.78	0.0002404825	US	
0001193125-26-028731	APP-40622438.FP	20745.0	20118.47	0.0012840825	US	
0001193125-26-028731	2844012.MA	14486.0	3488.61	0.0002226642	US	
0001193125-26-028731	FW4532065.UP	33546.0	34013.35	0.0021709378	US	
0001193125-26-028731	DRB4605864.UP	19770.0	20046.0	0.001279457	US	
0001193125-26-028731	DRB5697405.UP	9623.0	9304.64	0.0005938784	US	
0001193125-26-028731	LAI-00721019.LP	5429.0	5390.9	0.0003440799	US	
0001193125-26-028731	1284960.MA	568.0	78.32	4.9989e-06	US	
0001193125-26-028731	FW4292075.UP	979.0	979.88	6.25419e-05	US	
0001193125-26-028731	LAI-00834312.LP	27227.0	2499.44	0.0001595294	US	
0001193125-26-028731	2489023.MA	28872.0	29055.79	0.0018545163	US	
0001193125-26-028731	FW3181818.UP	536.0	538.59	3.43761e-05	US	
0001193125-26-028731	213361926.LC	19507.0	13624.02	0.0008695674	US	
0001193125-26-028731	2225243.PW	15498.0	15016.75	0.0009584598	US	
0001193125-26-028731	L3594655.UP	2354.0	2407.97	0.0001536912	US	
0001193125-26-028731	183974169.LC	4753.0	4837.71	0.0003087719	US	
0001193125-26-028731	L4569000.UP	7687.0	7687.01	0.0004906315	US	
0001193125-26-028731	2460448.PW	6666.0	6641.76	0.0004239173	US	
0001193125-26-028731	L4390612.UP	587.0	575.37	3.67236e-05	US	
0001193125-26-028731	214262772.LC	11464.0	11203.99	0.0007151064	US	
0001193125-26-028731	L4088483.UP	2603.0	2633.54	0.0001680885	US	
0001193125-26-028731	7937125.SQ	954.0	748.79	4.77923e-05	US	
0001193125-26-028731	2296130.PW	5817.0	5682.52	0.0003626928	US	
0001193125-26-028731	9042131.SQ	1671.0	1565.84	9.99414e-05	US	
0001193125-26-028731	CBM3873645.UP	3889.0	3968.51	0.0002532943	US	
0001193125-26-028731	L4989831.UP	31763.0	30837.09	0.0019682096	US	
0001193125-26-028731	APP-41926135.FP	10609.0	10323.45	0.000658905	US	
0001193125-26-028731	FW3595973.UP	2036.0	2120.1	0.0001353176	US	
0001193125-26-028731	131625246.UG	5726.0	5717.75	0.0003649414	US	
0001193125-26-028731	DRB6030426.UP	2400.0	1232.91	7.86918e-05	US	
0001193125-26-028731	L3595298.UP	2913.0	3038.67	0.0001939463	US	
0001193125-26-028731	205522472.LC	5984.0	5920.38	0.0003778745	US	
0001193125-26-028731	FW3707339.UP	5455.0	5576.35	0.0003559164	US	
0001193125-26-028731	CBM4134171.UP	1024.0	1056.54	6.74348e-05	US	
0001193125-26-028731	FW4800006.UP	10517.0	9848.0	0.0006285589	US	
0001193125-26-028731	DRB5563502.UP	7588.0	7192.49	0.0004590682	US	
0001193125-26-028731	183441353.LC	14591.0	10839.81	0.0006918623	US	
0001193125-26-028731	DRB5846438.UP	2730.0	2658.56	0.0001696854	US	
0001193125-26-028731	FW4158054.UP	24947.0	24664.34	0.0015742274	US	
0001193125-26-028731	203223547.LC	3611.0	3612.38	0.0002305639	US	
0001193125-26-028731	297281370.UG	8599.0	8323.11	0.0005312312	US	
0001193125-26-028731	FW3940970.UP	310.0	310.88	1.98422e-05	US	
0001193125-26-028731	L4989339.UP	42083.0	40460.02	0.0025824032	US	
0001193125-26-028731	FW4797110.UP	7864.0	2436.1	0.0001554866	US	
0001193125-26-028731	6197790330.ST	6600.0	330.0	2.10626e-05	US	
0001193125-26-028731	L6019668.UP	1368.0	1363.39	8.70198e-05	US	
0001193125-26-028731	FW4182949.UP	3567.0	3578.46	0.000228399	US	
0001193125-26-028731	208837602.LC	2554.0	2524.35	0.0001611193	US	
0001193125-26-028731	DRB4799625.UP	1938.0	1788.15	0.0001141306	US	
0001193125-26-028731	FW4162551.UP	1332.0	1359.85	8.67939e-05	US	
0001193125-26-028731	FW4580975.UP	39436.0	38446.19	0.0024538684	US	
